"piler_party","party_id","party_code","party_name","Country"
"National Resurrection Party - TPP",347,"TPP","National Resurrection Party","Lithuania"
"National Resurrection Party-TPP",347,"TPP","National Resurrection Party","Lithuania"
"National democratic party",,,,"Lithuania"
"Nationalist Party - 'Young Lithuania'",1026,"JL","Young Lithuania","Lithuania"
"Nationalist Union (TS)",377,"LTS","Lithuanian National Union","Lithuania"
"New Democracy - Women's Party",1747,"LMP — NDP","Lithuanian Women's Party — New Democratic Party","Lithuania"
"New Union (Social Liberals) (NS)",1800,"NS","New Union (Social Liberals)","Lithuania"
"New Union (Social Liberals) - NS (SL)",1800,"NS","New Union (Social Liberals)","Lithuania"
"New Union (Social Liberals)-NS(SL)",1800,"NS","New Union (Social Liberals)","Lithuania"
"New Union (social liberals)",1800,"NS","New Union (Social Liberals)","Lithuania"
"New democracy/Women party",1747,"LMP — NDP","Lithuanian Women's Party — New Democratic Party","Lithuania"
"New union (socialliberals)",1800,"NS","New Union (Social Liberals)","Lithuania"
"Order and Justice (TT) (Leader: R.Žemaitaitis)",237,"TT — LDP","Order and Justice — Liberal Democratic Party","Lithuania"
"Order and Justice - TT",237,"TT — LDP","Order and Justice — Liberal Democratic Party","Lithuania"
"Party ""Front""",1250,"F/SLF","Front Party / Socialist People's Front","Lithuania"
"Party ""Order and Justice""",237,"TT — LDP","Order and Justice — Liberal Democratic Party","Lithuania"
"Party 'Freedom and Justice' (LT)",,,,"Lithuania"
"Party 'Freedom and Justice' – LT (Remigijus Zemaitaitis)",,,,"Lithuania"
"Party 'Front' (Frontas)",1250,"F/SLF","Front Party / Socialist People's Front","Lithuania"
"Party 'Lithuania - For Everyone'",,,,"Lithuania"
"Party 'Lithuania - For everyone' (LV)",,,,"Lithuania"
"Party 'Lithuania – For everyone' – LV (Tomas Pacesas)",,,,"Lithuania"
"Party 'Order and Justice'",237,"TT — LDP","Order and Justice — Liberal Democratic Party","Lithuania"
"Party 'Order and Justice' - TT",237,"TT — LDP","Order and Justice — Liberal Democratic Party","Lithuania"
"Party 'Order and Justice' - TT (R. Zemaitaitis)",237,"TT — LDP","Order and Justice — Liberal Democratic Party","Lithuania"
"Party 'Order and Justice'-TT",237,"TT — LDP","Order and Justice — Liberal Democratic Party","Lithuania"
"Party 'Young Lithuania' (JL)",1026,"JL","Young Lithuania","Lithuania"
"Party Order and Justice (TT)",237,"TT — LDP","Order and Justice — Liberal Democratic Party","Lithuania"
"Party Order and Justice - TT",237,"TT — LDP","Order and Justice — Liberal Democratic Party","Lithuania"
"Party Order and Justice-TT",237,"TT — LDP","Order and Justice — Liberal Democratic Party","Lithuania"
"Party Order and Justice-TT",237,"TT — LDP","Order and Justice — Liberal Democratic Party","Lithuania"
"Party Order and Justice-TT",237,"TT — LDP","Order and Justice — Liberal Democratic Party","Lithuania"
"Party of Civic Democracy (PDP)",105,"PDP","Civic Democratic Party","Lithuania"
"Peasants Party",6805,"VS","Peasant Union","Lithuania"
"Peasants party",6805,"VS","Peasant Union","Lithuania"
"Poles Election Action",556,"LLRA","Election Action of Lithuania's Poles","Lithuania"
"Polish election action",556,"LLRA","Election Action of Lithuania's Poles","Lithuania"
"Political Party 'List of Lithuania'",6738,"List","Lithuanian List","Lithuania"
"Political Party 'List of Lithuania' (LS)",6738,"List","Lithuanian List","Lithuania"
"Political Party 'List of Lithuania' - PPLS",6738,"List","Lithuanian List","Lithuania"
"Political Party 'Lithuanian Green Movement' (LZS)",,,,"Lithuania"
"Political Party 'Road of Courage'",74,"DK","The Way of Courage","Lithuania"
"Political Party 'The Way of Courage'",74,"DK","The Way of Courage","Lithuania"
"Political Party 'The Way of Courage' (DK)",74,"DK","The Way of Courage","Lithuania"
"Political Party 'The Way of Courage' - DK",74,"DK","The Way of Courage","Lithuania"
"Political Party 'The Way of Courage' - DK (J. Varkala)",74,"DK","The Way of Courage","Lithuania"
"Political Party 'The Way of Courage' – DK (Jonas Varkala)",74,"DK","The Way of Courage","Lithuania"
"Political Party 'Union Yes' (ST)",1806,"TAIP","YES — Homeland Revival and Perspective","Lithuania"
"Political Party 'Union Yes' - TAIP",1806,"TAIP","YES — Homeland Revival and Perspective","Lithuania"
"Political Party 'Union Yes'-TAIP",1806,"TAIP","YES — Homeland Revival and Perspective","Lithuania"
"Political Party The Way of Courage-DK",74,"DK","The Way of Courage","Lithuania"
"Political Refugees and Prisoners Union",753,"LPKTS","Union of Lithuanian Political Prisoners and Deportees","Lithuania"
"Puteikis and Krivickas Anticorruption Coalition (Lithuanian Centre, Lith. Pensioners' P.) - APKK",,,,"Lithuania"
"Republican Party (RP)",,,,"Lithuania"
"Respublikonu partija (RP) - Republican Party",,,,"Lithuania"
"Revival of Nation Party",347,"TPP","National Resurrection Party","Lithuania"
"S. Buskevicius + Nationalists Coalition 'Against Corruption and Poverty' - BTK",,,,"Lithuania"
"Social Democratic Labor Party of Lithuania (Leader: G.Kirkilas)",7352,"LSDDP—LRP","Social Democratic Labour Party of Lithuania — Lithuanian Regions Party","Lithuania"
"Social Democratic Labour Party of Lithuania (LSDDP)",7352,"LSDDP—LRP","Social Democratic Labour Party of Lithuania — Lithuanian Regions Party","Lithuania"
"Social Democratic Labour Party of Lithuania – LSDDP (Gediminas Kirkilas)",7352,"LSDDP—LRP","Social Democratic Labour Party of Lithuania — Lithuanian Regions Party","Lithuania"
"Social Democratic Party",64,"LSDP","Lithuanian Social Democratic Party","Lithuania"
"Social Democratic Party of Lithuania (Leader: G.Paluckas)",64,"LSDP","Lithuanian Social Democratic Party","Lithuania"
"Socialdemocratic party",64,"LSDP","Lithuanian Social Democratic Party","Lithuania"
"Socialist Party",,,,"Lithuania"
"Socialist People's Front",1250,"F/SLF","Front Party / Socialist People's Front","Lithuania"
"Socialist People's Front (SLF)",1250,"F/SLF","Front Party / Socialist People's Front","Lithuania"
"Socialist People's Front - SLF",1250,"F/SLF","Front Party / Socialist People's Front","Lithuania"
"Socialist People's Front-SLF",1250,"F/SLF","Front Party / Socialist People's Front","Lithuania"
"Tautos pazangos judejimas (TPJ) - National Progress Movement",636,"TPJ","National Progress Movement","Lithuania"
"Tevynes Sajunga (Lietuvos konservatoriai) (TS-LK) - Homeland Union/ Lithuanian Conservatives",193,"TS — LKD","Homeland Union — Lithuanian Christian Democrats","Lithuania"
"The Union of Generations' Solidarity - Unity for Lithuania",,,,"Lithuania"
"The Way of Courage",74,"DK","The Way of Courage","Lithuania"
"The Way of Courage - DK",74,"DK","The Way of Courage","Lithuania"
"Union of Intergenerational Solidarity - Cohesion for Lithuania (KSSL)",,,,"Lithuania"
"Union of Intergenerational Solidarity – Cohesion for Lithuania – KSSL (Arvydas Juozaitis)",,,,"Lithuania"
"Union of Russians of Lithuania (LRS)",168,"LRS","Lithuanian Russian Union","Lithuania"
"Zemaiciai (Samogitian) Party (ZP)",1291,"Zp","Samogitian Party","Lithuania"
"Zemaiciu (Samogitian) Party",1291,"Zp","Samogitian Party","Lithuania"
"ADR (populist party)",1114,"ADR","Alternative Democratic Reform Party","Luxembourg"
"Alternativ Demokratesch Reformpartei / Parti réformiste dalternative démocratique ADR",1114,"ADR","Alternative Democratic Reform Party","Luxembourg"
"CSV (socio-catholic party)",539,"CSV","Christian Social People's Party","Luxembourg"
"Chrëschtlech Sozial Vollekspartei / Parti Chrétien Social CSV / PCS",539,"CSV","Christian Social People's Party","Luxembourg"
"Comité d'action pour la Démocratie et la Justice sociale",,,,"Luxembourg"
"Demokratesch Partei (DP; liberal party)",300,"DP","Democratic Party","Luxembourg"
"Demokratesch Partei/ Parti Démocratique (Libéral) DP / PD",300,"DP","Democratic Party","Luxembourg"
"Déi Gréng (Green)",1138,"Greng/GAP","The Greens","Luxembourg"
"Déi Gréng /Les Verts",1138,"Greng/GAP","The Greens","Luxembourg"
"Déi Lenk (former communists)",271,"DL","The Left","Luxembourg"
"Déi Lénk - La Gauche",271,"DL","The Left","Luxembourg"
"Kommunistesch Partei Lëtzebuerg / Parti Communiste Luxembourgeois KPL / PCL",1647,"KPL","Communist Party of Luxembourg","Luxembourg"
"La Gauche",271,"DL","The Left","Luxembourg"
"Les Verts",1138,"Greng/GAP","The Greens","Luxembourg"
"Lëtzebuerger Sozialistesch Arbechterpartei / Parti Socialiste Ouvrier Luxembourgeois LSAP / POSL",186,"LSAP","Luxembourg Socialist Workers' Party","Luxembourg"
"Parti Chrétien Social (PCS)",539,"CSV","Christian Social People's Party","Luxembourg"
"Parti Démocrate (PD)",300,"DP","Democratic Party","Luxembourg"
"Parti Socialiste Ouvrier Luxembourgeois (PSOL)",186,"LSAP","Luxembourg Socialist Workers' Party","Luxembourg"
"d´Sozialisten (LSAP; socialists)",186,"LSAP","Luxembourg Socialist Workers' Party","Luxembourg"
"AFFA (CRN)",,,,"Madagascar"
"AKFM",,,,"Madagascar"
"AKFM (Antokon'ny Kongresin'ny Fahaleovantenan'i Madagasikara)",5369,"PCIM","Congress Party for the Independence of Madagascar","Madagascar"
"AKFM (Antokon-ny Kongresin-ny Fahaleovantenan-i Madagasikara)",,,,"Madagascar"
"AKFM Fanavaozana (Antokon'ny Kongresin'ny Fahaleovantenan'i Madagasikara Fanavaozana)",5369,"PCIM","Congress Party for the Independence of Madagascar","Madagascar"
"AKFM Fanavaozana (Antokon-ny Kongresin-ny Fahaleovantenan-i Madagasikara Fanavaozana)",,,,"Madagascar"
"AME (Antoko Miombon'Ezaka)",,,,"Madagascar"
"AREMA",5311,"AREMA","Association for the Rebirth of Madagascar","Madagascar"
"AREMA (Antokin'ny REvolisiona Malagasy)",5311,"AREMA","Association for the Rebirth of Madagascar","Madagascar"
"AREMA (Antokin-ny REvolisiona Malagasy)",5311,"AREMA","Association for the Rebirth of Madagascar","Madagascar"
"AREMA (Antoko REvôlisionera Malagasy)",5311,"AREMA","Association for the Rebirth of Madagascar","Madagascar"
"AVI",5373,"AVI","Judged By Your Work Party","Madagascar"
"AVI (Asa Vita no Ifampitsarana)",5373,"AVI","Judged By Your Work Party","Madagascar"
"AVI (Asa vita no Ifampitsarana)",5373,"AVI","Judged By Your Work Party","Madagascar"
"Antoko Maintso (Hasin'i Madagasikara)",,,,"Madagascar"
"Antoko Maintso (Hasin-i Madagasikara)",,,,"Madagascar"
"GRAD ILOAFO",,,,"Madagascar"
"HVM (Hery Vaovao ho an'I Madagasikara)",8436,"HVM","New Forces for Madagascar","Madagascar"
"HVM (Hery Vaovao ho an'i Madagasikara)",8436,"HVM","New Forces for Madagascar","Madagascar"
"HVM (HeryVaovao ho an-I Madagasikara)",8436,"HVM","New Forces for Madagascar","Madagascar"
"LEADER - FANILO",5370,"LEADER-F","Economic Liberalism and Democratic Action for National Recovery","Madagascar"
"LEADER FANILO (Liberalisme Economique et Action DEmocratique pour la Réconciliation )",5370,"LEADER-F","Economic Liberalism and Democratic Action for National Recovery","Madagascar"
"LEADER FANILO (Libéralisme Economique et Action DEmocratique pour la Réconciliation )",5370,"LEADER-F","Economic Liberalism and Democratic Action for National Recovery","Madagascar"
"Lahiniriko",,,,"Madagascar"
"Leader Fanilo",5370,"LEADER-F","Economic Liberalism and Democratic Action for National Recovery","Madagascar"
"MAF AVOKO",,,,"Madagascar"
"MAMAFISOA (Malagasy MAndroso ao anatin'ny FIhavanana sy ny SOAtoavina)",,,,"Madagascar"
"MAPAR (Miaraka Amin'ny Prezida Andry Rajoelina)",8069,"MAPAR/IRD","With President Andry Rajoelina","Madagascar"
"MAPAR (Miaraka Amin-ny Prezida Andry Rajoelina)",8069,"MAPAR/IRD","With President Andry Rajoelina","Madagascar"
"MDM (Miara Mientana ho an'ny Demokrasia)",,,,"Madagascar"
"MDM (Miara Mientana ho an-ny Demokrasia)",,,,"Madagascar"
"MFM",5838,"MFM/MPP","Party for Proletarian Power / Movement for the Progress of Madagascar","Madagascar"
"MFM (Mitolona ho amin-ny Fampandrosoana)",5838,"MFM/MPP","Party for Proletarian Power / Movement for the Progress of Madagascar","Madagascar"
"MMM (Malagasy Miara-Miainga)",,,,"Madagascar"
"MONIMA (MOuvement National pour l'Indépendance de Madagascar)",,,,"Madagascar"
"MONIMA (MOuvement National pour l'Indépendance de Madagascar)",,,,"Madagascar"
"MONIMA (MOuvement National pour l'Indépendance de Madagascar)",,,,"Madagascar"
"MONIMA (MOvement National pour l'Indépendance de Madagascar)",,,,"Madagascar"
"MTS (Malagasy Tonga Saina)",,,,"Madagascar"
"Mahaleo Tena",,,,"Madagascar"
"Mahaleo tena",,,,"Madagascar"
"PSD Premier Republique",5372,"PSD","Social Democratic Party of Madagascar and the Comoros","Madagascar"
"RPSD",6086,"RPSD","Rally for Socialism and Democracy","Madagascar"
"RPSD - VAOVAO",6086,"RPSD","Rally for Socialism and Democracy","Madagascar"
"RPSD-Vaovao (Rassemblement pour la Social Démocratie)",6086,"RPSD","Rally for Socialism and Democracy","Madagascar"
"TEZA",,,,"Madagascar"
"TGV",8438,"TGV","Young Malagasies Determined","Madagascar"
"TGV (Tanora malaGasy Vonona)",8438,"TGV","Young Malagasies Determined","Madagascar"
"TIM",5201,"TIM","I Love Madagascar","Madagascar"
"TIM (Tiako I Madagasikara)",5201,"TIM","I Love Madagascar","Madagascar"
"TIM (Tiako i Madagasikara)",5201,"TIM","I Love Madagascar","Madagascar"
"Tambatra",,,,"Madagascar"
"Toamasina Tonga Saina",,,,"Madagascar"
"UNDD",5869,"UNDD","National Union for Democracy and Development","Madagascar"
"UNDD (Union Nationale pour le Développement et la Démocratie)",5869,"UNDD","National Union for Democracy and Development","Madagascar"
"Vitantsika io",,,,"Madagascar"
"affa",,,,"Madagascar"
"akfm",,,,"Madagascar"
"ame",,,,"Madagascar"
"arema",5311,"AREMA","Association for the Rebirth of Madagascar","Madagascar"
"avi",5373,"AVI","Judged By Your Work Party","Madagascar"
"grad iloafo",,,,"Madagascar"
"leader",5370,"LEADER-F","Economic Liberalism and Democratic Action for National Recovery","Madagascar"
"mfm",5838,"MFM/MPP","Party for Proletarian Power / Movement for the Progress of Madagascar","Madagascar"
"rpsd vaovao",6086,"RPSD","Rally for Socialism and Democracy","Madagascar"
"teza",,,,"Madagascar"
"tim",5201,"TIM","I Love Madagascar","Madagascar"
"un nouveau parti",,,,"Madagascar"
"undd",5869,"UNDD","National Union for Democracy and Development","Madagascar"
"AFORD",3733,"AFORD","Alliance for Democracy","Malawi"
"Alliance For Democracy (AFORD)",3733,"AFORD","Alliance for Democracy","Malawi"
"Alliance For democracy(AFORD)",3733,"AFORD","Alliance for Democracy","Malawi"
"Alliance for Democracy (AFORD)",3733,"AFORD","Alliance for Democracy","Malawi"
"Congress for Democrats (CODE)",,,,"Malawi"
"DCN",,,,"Malawi"
"Democratic Progressive Party",4846,"DPP","Democratic Progressive Party","Malawi"
"Democratic Progressive Party (DPP)",4846,"DPP","Democratic Progressive Party","Malawi"
"Democratic Progressive Party (DPP) [Peter Mutharika]",4846,"DPP","Democratic Progressive Party","Malawi"
"Democratic Progressive Party [DPP]",4846,"DPP","Democratic Progressive Party","Malawi"
"MAFUNDE",,,,"Malawi"
"MCP",3732,"MCP","Malawi Congress Party","Malawi"
"Malawi Congress Party (MCP)",3732,"MCP","Malawi Congress Party","Malawi"
"Malawi Congress Party (MCP) [Lazarus Chakwera]",3732,"MCP","Malawi Congress Party","Malawi"
"Malawi Congress Party [MCP]",3732,"MCP","Malawi Congress Party","Malawi"
"Malawi Congress Party(MCP)",3732,"MCP","Malawi Congress Party","Malawi"
"Malawi Democratic Party (MDP)",,,,"Malawi"
"Malawi Democreatic Party (MDP)",,,,"Malawi"
"Malawi Forum for Unity and Development (MAFUNDE)",,,,"Malawi"
"Malawi Forum for Unity and Development (MAFUNDE)/Tisintha Al",,,,"Malawi"
"Maravi People's Party (MPP)",,,,"Malawi"
"Mbakuwaku Movement for Democracy (MMD)",,,,"Malawi"
"Movement For Genuine Democracy",,,,"Malawi"
"National Democratic Alliance (NDA) Pressure Groupo",3735,"NDA","National Democratic Alliance","Malawi"
"National Salvation Front (NSF)",,,,"Malawi"
"National Survation Front (NSF) [James Nyondo]",,,,"Malawi"
"National democratic Alliance(NAD)",3735,"NDA","National Democratic Alliance","Malawi"
"New Rainbow Coalition Party (NARC)",,,,"Malawi"
"New Republican Party",,,,"Malawi"
"New Republican Party (NRP)",,,,"Malawi"
"People's Democratic Movement (PDM)",,,,"Malawi"
"People's Party (PP)",4847,"PP","People's Party","Malawi"
"People's Party (PP)",4847,"PP","People's Party","Malawi"
"People's Party (PP)",4847,"PP","People's Party","Malawi"
"People's Party (PP) [Joice Banda]",4847,"PP","People's Party","Malawi"
"People's Progressive Movement (PPM)",3736,"PPM","People's Progressive Movement","Malawi"
"People's Progressive Movement (PPM)",3736,"PPM","People's Progressive Movement","Malawi"
"People's Progressive Movement (PPM)",3736,"PPM","People's Progressive Movement","Malawi"
"People's Progressive Movement (PPM) [Mark Katsonga]",3736,"PPM","People's Progressive Movement","Malawi"
"People's Progressive Movement [PPM]",3736,"PPM","People's Progressive Movement","Malawi"
"People's Transformation Party (PETRA)",,,,"Malawi"
"Peoples Progressive Movement(PPM)",3736,"PPM","People's Progressive Movement","Malawi"
"Republic Party(RP)",3737,"RP","Republican Party","Malawi"
"Republican Party",3737,"RP","Republican Party","Malawi"
"Republican Party (RP)",3737,"RP","Republican Party","Malawi"
"UDF",3734,"UDF","United Democratic Front","Malawi"
"UTM",8067,"UTM","United Transformation Movement","Malawi"
"United Democratic Front (UDF)",3734,"UDF","United Democratic Front","Malawi"
"United Democratic Front (UDF) [Atupere Muluzi]",3734,"UDF","United Democratic Front","Malawi"
"United Democratic Front [UDF]",3734,"UDF","United Democratic Front","Malawi"
"United Independent  Party (UIP)",,,,"Malawi"
"United Independent Party (UIP) [Abusa Helen Singh]",,,,"Malawi"
"United Party",,,,"Malawi"
"Alliance of Hope",,,,"Malaysia"
"Barisan Nasional",3637,"BN","National Front","Malaysia"
"Barisan Nasional (BN)",3637,"BN","National Front","Malaysia"
"BarisanNasional",3637,"BN","National Front","Malaysia"
"Coalition of Hope (Pakatan Harapan) (PH), formerly the People's Alliance",,,,"Malaysia"
"DAP",2486,"DAP","Democratic Action Party","Malaysia"
"Democratic Action Party",2486,"DAP","Democratic Action Party","Malaysia"
"Democratic Action Party (DAP)",2486,"DAP","Democratic Action Party","Malaysia"
"Gabungan Parti Sarawak (GPS)",,,,"Malaysia"
"Gerakan",6636,"PGRM","Malaysian People's Movement Party","Malaysia"
"Homeland Solidarity Party (STAR)",,,,"Malaysia"
"Ideas of Prosperity",,,,"Malaysia"
"MCA",2484,"MCA","Malaysian Chinese Association","Malaysia"
"MIC",4743,"MIC","Malaysian Indian Congress","Malaysia"
"Malaysian Chinese Association (MCA)",2484,"MCA","Malaysian Chinese Association","Malaysia"
"Malaysian India congress (MIC)",4743,"MIC","Malaysian Indian Congress","Malaysia"
"Malaysian Indian Congress (MIC)",4743,"MIC","Malaysian Indian Congress","Malaysia"
"Malaysian Islamic Party (PAS)",2483,"PAS","Pan-Malaysian Islamic Party","Malaysia"
"Malaysian People's Movement Party (Gerakan)",6636,"PGRM","Malaysian People's Movement Party","Malaysia"
"National Front",3637,"BN","National Front","Malaysia"
"National Front (Barisan Nasional (BN)",,,,"Malaysia"
"National Trust Party (AMANAH)",7999,"PAN/PPPM","National Trust Party / Malaysia Workers' Party","Malaysia"
"Other BN party",,,,"Malaysia"
"PAS",2483,"PAS","Pan-Malaysian Islamic Party","Malaysia"
"PBB",5599,"PBB","United Bumiputera Heritage Party","Malaysia"
"PBS",7092,"PBS","United Sabah Party","Malaysia"
"PKR",2485,"Keadilan","People's Justice Party","Malaysia"
"Pakatan Harapan (PH)",7893,"PR","People's Pact / People's Alliance","Malaysia"
"Pan-Malaysian Islamic Front (Berjasa)",,,,"Malaysia"
"Pan-Malaysian Islamic Party",2483,"PAS","Pan-Malaysian Islamic Party","Malaysia"
"Pan-Malaysian Islamic Party  (PAS)",2483,"PAS","Pan-Malaysian Islamic Party","Malaysia"
"Pan-Malaysian Islamic Party (PAS)",2483,"PAS","Pan-Malaysian Islamic Party","Malaysia"
"Parti Islam SeMalaysia (PAS)",2483,"PAS","Pan-Malaysian Islamic Party","Malaysia"
"Parti Keadilan Rakyat (PKR)",2485,"Keadilan","People's Justice Party","Malaysia"
"Parti Pejuang Tanah Air (PEJUANG)",,,,"Malaysia"
"Parti Warisan Sabah",8669,"WARISAN","Sabah Heritage Party","Malaysia"
"People Alliance",7893,"PR","People's Pact / People's Alliance","Malaysia"
"People's Front (Now known as Pakatan Rakyat)",,,,"Malaysia"
"People's Justice Party",2485,"Keadilan","People's Justice Party","Malaysia"
"People's Justice Party (PKR)",2485,"Keadilan","People's Justice Party","Malaysia"
"People's Justice Party (PKR)",2485,"Keadilan","People's Justice Party","Malaysia"
"People's Justice Party (PKR)",2485,"Keadilan","People's Justice Party","Malaysia"
"People's Progressive Party (PPP)",6635,"PPP","People's Progressive Party","Malaysia"
"SAPP",8022,"SAPP","Sabah Progressive Party","Malaysia"
"SNAP",7891,"SNAP","Sarawak National Party","Malaysia"
"SUPP",5880,"SUPP","Sarawak United Peoples' Party","Malaysia"
"Sabah Heritage Party",8669,"WARISAN","Sabah Heritage Party","Malaysia"
"Sabah Heritage Party (WARISAN)",8669,"WARISAN","Sabah Heritage Party","Malaysia"
"Sarawak People's Party (PRS)",8027,"PRS","Sarawak Peoples' Party","Malaysia"
"Sarawak Progressive Democratic Party (SPDP)",8026,"PDP","Progressive Democratic Party","Malaysia"
"Sarawak United People's Party (SUPP)",5880,"SUPP","Sarawak United Peoples' Party","Malaysia"
"Socialist Party of Malaysia",,,,"Malaysia"
"State Reform Party (STAR)",,,,"Malaysia"
"UMNO",2318,"UMNO","United Malays National Organisation","Malaysia"
"United Malays National Organisation (UMNO)",2318,"UMNO","United Malays National Organisation","Malaysia"
"United Malays National Organization (UMNO)",2318,"UMNO","United Malays National Organisation","Malaysia"
"United Malays National Organization (UMNO))",2318,"UMNO","United Malays National Organisation","Malaysia"
"United Pasokmomogun Kadazandusun Murut Organization (UPKO)",8024,"UPKO","United Pasokmomogun Kadazandusun Murut Organisation","Malaysia"
"United Sabah Alliance",,,,"Malaysia"
"United Sabah Party (PBS)",7092,"PBS","United Sabah Party","Malaysia"
"United Sabah People's Party (PBRS)",,,,"Malaysia"
"United Sabah People's Party (PBRS)",,,,"Malaysia"
"United Sabah People's Party (PBRS)",,,,"Malaysia"
"United Traditional Bumiputera Party (PBB)",5599,"PBB","United Bumiputera Heritage Party","Malaysia"
"dap",2486,"DAP","Democratic Action Party","Malaysia"
"mca",2484,"MCA","Malaysian Chinese Association","Malaysia"
"mic",4743,"MIC","Malaysian Indian Congress","Malaysia"
"pas",2483,"PAS","Pan-Malaysian Islamic Party","Malaysia"
"pbb",5599,"PBB","United Bumiputera Heritage Party","Malaysia"
"pbs",7092,"PBS","United Sabah Party","Malaysia"
"pkr",2485,"Keadilan","People's Justice Party","Malaysia"
"star",,,,"Malaysia"
"supp",5880,"SUPP","Sarawak United Peoples' Party","Malaysia"
"umno",2318,"UMNO","United Malays National Organisation","Malaysia"
"Adhaalath Party",5683,"AP","Justice Party","Maldives"
"Dhivehi Rayyithunge Party (DRP)",5327,"DRP","Maldivian People's Party","Maldives"
"Jumhooree Party (JP)",5680,"JP","Republican Party","Maldives"
"Maldives Democratic Party (MDP)",5329,"MDP","Maldivian Democratic Party","Maldives"
"Peaoples National Congress (PNC)",7914,"PNC","People's National Congress","Maldives"
"Progressive Party of Maldives (PPM)",5682,"PPM","Progressive Party of Maldives","Maldives"
"ADEMA",2477,"ADEMA — PASJ","The Alliance for Democracy in Mali — Pan-African Party for Liberty, Solidarity and Justice","Mali"
"ADEMA - PASJ",2477,"ADEMA — PASJ","The Alliance for Democracy in Mali — Pan-African Party for Liberty, Solidarity and Justice","Mali"
"ADEMA – PASJ   (Alliance pour la démocratie au Mali) / Dioncounda Traoré",2477,"ADEMA — PASJ","The Alliance for Democracy in Mali — Pan-African Party for Liberty, Solidarity and Justice","Mali"
"ADEMA – PASJ (Alliance pour la démocratie au Mali) / Dionkounda Traoré / Tiémoko Sangaré",2477,"ADEMA — PASJ","The Alliance for Democracy in Mali — Pan-African Party for Liberty, Solidarity and Justice","Mali"
"ADEMA – PASJ / Dionkounda Traoré / Tiémoko Sangaré",2477,"ADEMA — PASJ","The Alliance for Democracy in Mali — Pan-African Party for Liberty, Solidarity and Justice","Mali"
"ADEMA/ PASJ",2477,"ADEMA — PASJ","The Alliance for Democracy in Mali — Pan-African Party for Liberty, Solidarity and Justice","Mali"
"ADP – Maliba (Alliance pour la démocratie et la paix) / Boubacar Diallo",,,,"Mali"
"ADP – Maliba / Boubacar Diallo",,,,"Mali"
"ADP-Maliba",,,,"Mali"
"ASMA – CFP (Alliance pour la solidarité au Mali – Convergence des forces patriotiques) / Soumeylou Boubèye Maïga",8440,"ASMA — CFP","Alliance for Solidarity in Mali — Convergence of Patriotic Forces","Mali"
"ASMA – CFP / Soumeylou Boubèye Maïga",8440,"ASMA — CFP","Alliance for Solidarity in Mali — Convergence of Patriotic Forces","Mali"
"ASMA-CFP",8440,"ASMA — CFP","Alliance for Solidarity in Mali — Convergence of Patriotic Forces","Mali"
"BARA",,,,"Mali"
"BARA                   (Bloc des alternatives pour le renouveau africain) / Pr. Yoro Diakitéa",,,,"Mali"
"BARICA",,,,"Mali"
"BDIA",,,,"Mali"
"BDIA - FASO JIGI",,,,"Mali"
"BDIA – Faso Jigi  (Bloc pôur la démocratie et l'intégration africaine) / Ibrahim Bocar Bah",,,,"Mali"
"Bloc democratique pour l'Integration Africaine BDIA",,,,"Mali"
"CDS",,,,"Mali"
"CDS - MOGO TIGIYA",,,,"Mali"
"CDS – Mogo Tigiya (Convention sociale démocrate) / Mamadou Blaise Sangaré",,,,"Mali"
"CDS – Mogo Tigiya / Mamadou Blaise Sangaré",,,,"Mali"
"CNAS",,,,"Mali"
"CNAS                       (Convention nationale des associations de soutien à Soumana Sako)",,,,"Mali"
"CNAS – Faso Hèrè (Convention nationale des assosciations de soutien à Soumana Sako)",,,,"Mali"
"CNAS – Faso Hèrè / Soumana Sako",,,,"Mali"
"CNID",2478,"CNID","National Congress for Democratic Initiative","Mali"
"CNID - FASO YIRIWA TON",2478,"CNID","National Congress for Democratic Initiative","Mali"
"CNID – Faso Yiriwa Ton (Congrès national d'initiative démocratique) / Me Mountaga Tall",2478,"CNID","National Congress for Democratic Initiative","Mali"
"CNID – Faso Yiriwa Ton (Congrès national d'initiative démocratique) / Mountaga Tall",2478,"CNID","National Congress for Democratic Initiative","Mali"
"CNID – Faso Yiriwa Ton / Mountaga Tall",2478,"CNID","National Congress for Democratic Initiative","Mali"
"CNRDRE",,,,"Mali"
"CODEM",,,,"Mali"
"CODEM  / Ousséni Amion Guindo ou Poulô",,,,"Mali"
"CODEM (Convergence pour le développement du Mali) / Ousséni Amion Guindo",,,,"Mali"
"CODEM (Convergence pour le développement du Mali) / Ousséni Amion Guindo ou Poulô",,,,"Mali"
"Convention Parti du Peuple COPP",,,,"Mali"
"FARE",,,,"Mali"
"FARE – An Ka Wuli (Forces alternatives pour le renouveau et l'émergence) / Modibo Sidibé",,,,"Mali"
"FARE – An Ka Wuli / Modibo Sidibé",,,,"Mali"
"Ind Ápendance",,,,"Mali"
"LSJ",,,,"Mali"
"MC-CDR",,,,"Mali"
"MIRIA",8936,"MIRIA","Movement for the Independence, Renaissance, and Integration of Africa","Mali"
"MIRIA  (Mouvement pour l'indépendance, la renaissance et l'intégration africaine) Mamadou Kassa Traoré",8936,"MIRIA","Movement for the Independence, Renaissance, and Integration of Africa","Mali"
"MIRIA  / mamdou Kassa Traoré",8936,"MIRIA","Movement for the Independence, Renaissance, and Integration of Africa","Mali"
